1000:0000 entry size=355 ncallers=0 | TO_BE_USED_FOR_WHATEVER_YOU
2000:e017 cast_a_spell size=6918 ncallers=1 | FIGHTERS_CAN_ONLY_CAST ; SPELLS_BY_USING_MAGIC ; PAPER__KEEP_LOOKING_ ; SELECT_THE_TYPE_OF_SPELL_ ; SELECT_THE_TYPE_OF_SCROLL_ ; SELECT_THE_TYPE_OF_WAND_ ; SELECT_THE_TYPE_OF_PAPER_ ; THESE_SPELLS_TAKE_ONE_MONTH ; TO_CAST_AND_CAN_NOT_BE ; USED_IN_THE_DUNGEON_ ; THESE_SPELLS_TAKE_3_MINUTES ; TO_CAST__THIS_CAN_NOT ; BE_DONE_DURING_BATTLE_ ; YOU_ARE_UNABLE_TO_CAST_THIS
2000:fb25 FUN_2000_fb25 size=161 ncallers=0 | 
3000:0009 FUN_3000_0009 size=21 ncallers=1 | 
3000:0022 FUN_3000_0022 size=21 ncallers=1 | 
3000:003b FUN_3000_003b size=40 ncallers=2 | A_GROUP_OF_MISSLES_SPRING
3000:0067 FUN_3000_0067 size=24 ncallers=2 | 
3000:0081 FUN_3000_0081 size=35 ncallers=1 | 
3000:00a8 FUN_3000_00a8 size=1895 ncallers=2 | 
3000:080f FUN_3000_080f size=38 ncallers=1 | 
3000:0837 FUN_3000_0837 size=1854 ncallers=2 | 
3000:0f75 draw_3d_view size=5949 ncallers=2 | 
3000:27fc FUN_3000_27fc size=36 ncallers=1 | 
3000:2822 FUN_3000_2822 size=36 ncallers=1 | 
3000:2848 draw_map_square size=2758 ncallers=3 | 
3000:3311 FUN_3000_3311 size=284 ncallers=2 | 
3000:342d FUN_3000_342d size=5617 ncallers=3 | ENTER
3000:4a24 read_uroll_line size=61 ncallers=4 | 
3000:4a67 show_rolled_character size=528 ncallers=1 | SEX__MALE ; SEX__FEMALE
3000:4c77 roll_char size=7641 ncallers=1 | I_CAN_T_FIND_THE_FILE_UROLL_TXT_ ; RACE_ ; STRENGTH_ ; INTELLIGENCE_ ; CONSTITUTION_ ; AGILITY_ ; HEIGHT__INCHES ; WEIGHT__POUNDS ; AGE__YEARS ; Y__KEEP_THIS_CHARACTER ; N__ROLL_A_NEW_CHARACTER ; D__DESIGN_YOUR_OWN_CHARACTER ; PLEASE_SELECT_ONE_OF_THE_ABOVE ; ESC_CANCEL_THIS_CHARACTER
3000:6a6a FUN_3000_6a6a size=288 ncallers=2 | 
3000:6b8a FUN_3000_6b8a size=197 ncallers=1 | 
3000:6c6b set_16_colours size=50 ncallers=1 | 
3000:6c9d boss_office_message size=488 ncallers=1 | Null_pointer_assignment_Divide_e ; A_MESSAGE_FROM ; THE_OFFICE_OF_THE ; RACE_
3000:6e85 random_events_tick size=423 ncallers=1 | 
3000:703c FUN_3000_703c size=22 ncallers=1 | 
3000:7052 FUN_3000_7052 size=352 ncallers=1 | 
3000:71be FUN_3000_71be size=40 ncallers=1 | 
3000:71e6 FUN_3000_71e6 size=802 ncallers=1 | LEVEL ; PERMANENT_SPELLS ; PREPARATION_SPELLS ; WIZARD_BATTLE_SPELLS ; PRIEST_BATTLE_SPELLS
3000:7508 FUN_3000_7508 size=61 ncallers=4 | 
3000:7545 FUN_3000_7545 size=659 ncallers=1 | MISC__MAGIC_ITEMS_ ; HIT__I__AND__5__TO_USE_THESE_ ; 1__NUCLEAR_HAND_GRENADES_ ; 2__STONES_OF_TELEPORTATION_ ; 3__STONES_OF_SEEING_ ; 4__FLOOR_SLOSHERS_ ; 5__POTION_OF_HEALING_ ; HIT__I__AND__4__TO_USE_THESE_ ; 6__GREEN_POTIONS_ ; 7__ORANGE_POTIONS_ ; 8__YELLOW_POTIONS_ ; 9__RED_POTIONS_ ; 10__BLUE_POTIONS_ ; 11__WHITE_POTIONS_
3000:77e2 view_stats size=1163 ncallers=1 | VIEW_STATS_FOR ; RACE_ ; CLASS_ ; MONEY_IN_POCKET_ ; MONEY_IN_BANK_ ; LOADED_WEIGHT_ ; NAKED_WEIGHT_ ; HEIGHT__INCHES__ ; STRENGTH_ ; INTELLIGENCE_ ; CONSTITUTION_ ; AGILITY_ ; WEAPON_IN_HAND_ ; CURRENT_ARMOR_
3000:7c6d read_help_screen size=399 ncallers=1 | HELP_FILE_NOT_FOUND ; HIT_ANY_KEY
3000:7dfc FUN_3000_7dfc size=866 ncallers=1 | A_little_snake_scurries_up_and_s ; _Smarty_is_my_name__and_informat ; is_my_game__Learning_means_earni ; so_what_can_I_do_for_you_ ; HIT_RIGHT_BUTTON_OR_ESCAPE_TO_EX
3000:81ba myrand size=191 ncallers=5 | 
3000:827f check_for_ladder size=221 ncallers=3 | 
3000:8360 retdwall size=204 ncallers=9 | 
3000:8432 draw_side size=643 ncallers=2 | 
3000:86b5 solidcheck size=125 ncallers=11 | 
3000:8736 FUN_3000_8736 size=93 ncallers=0 | 
3000:8793 FUN_3000_8793 size=75 ncallers=1 | 
3000:87de drawsquare size=1440 ncallers=3 | 
3000:8d7e FUN_3000_8d7e size=243 ncallers=0 | 
3000:8e75 FUN_3000_8e75 size=343 ncallers=1 | 
3000:8fcc FUN_3000_8fcc size=56 ncallers=3 | 
3000:9004 FUN_3000_9004 size=34 ncallers=3 | 
3000:9026 FUN_3000_9026 size=758 ncallers=3 | 
3000:931c tablet_message size=332 ncallers=6 | 
3000:9468 FUN_3000_9468 size=32 ncallers=1 | 
3000:9488 FUN_3000_9488 size=215 ncallers=1 | 
3000:955f level_up_screen size=300 ncallers=1 | 
3000:968b load_picture_seq size=194 ncallers=0 | 
3000:974d load_building_picture size=620 ncallers=4 | 
3000:99bf title_screen size=1630 ncallers=1 | MoraffWare_Presents___ ; ADungeons_of_the_Unforgiven ; Copyright_1993__by_Steve_Moraff ; Hit_a_Key_to_Begin_Your_Challeng ; Artwork_by_Logan_Gilbert
3000:a023 show_spell_help size=152 ncallers=5 | 
3000:a0c1 FUN_3000_a0c1 size=48 ncallers=0 | 
3000:a0f1 FUN_3000_a0f1 size=9 ncallers=1 | 
3000:a0fa exp_value size=196 ncallers=2 | 
3000:a1c4 FUN_3000_a1c4 size=56 ncallers=6 | _GOOD_NEWS___
3000:a1fc drop_weapon size=475 ncallers=1 | YOU_FIND_A ; _YOU_ALREADY_HAVE ; 1__TAKE_THE_WEAPON ; 2__LEAVE_THE_WEAPON ; NOTE_THAT_YOU_MAY_END_UP ; WITH_SEVERAL_WEAPONS_WHICH ; WILL_WEIGH_YOU_DOWN_
3000:a3d7 drop_armor size=478 ncallers=1 | YOU_FIND ; _YOU_ALREADY_HAVE ; 1__TAKE_THE_ARMOR ; 2__LEAVE_THE_ARMOR ; NOTE_THAT_YOU_MAY_END_UP ; WITH_SEVERAL_SUITS_OF ; ARMOR_WEIGHING_YOU_DOWN_
3000:a5b5 FUN_3000_a5b5 size=21 ncallers=0 | 
3000:a5cc spell_name_to_menu size=145 ncallers=4 | THE_SPELL_IS_A_LEVEL ; PERMANENT_SPELL_ ; PREPARATION_SPELL_ ; WIZARD_SPELL_ ; PRIESTLY_SPELL
3000:a65d drop_spellbook size=523 ncallers=1 | YOU_HAVE_FOUND_A_SPELLBOOK_ ; HIT_ANY_KEY_FOR_A_DESCRIPTION ; OF_THE_SPELL_
3000:a870 drop_scroll size=455 ncallers=1 | YOU_HAVE_FOUND_A_SCROLL_ ; HIT_ANY_KEY_FOR_A_DESCRIPTION ; OF_THE_SCROLL_
3000:aa37 drop_wand size=568 ncallers=1 | YOU_FOUND_A_WAND_WITH ; HIT_ANY_KEY_FOR_A_DESCRIPTION ; OF_THE_WAND_
3000:ac6f drop_paper size=440 ncallers=1 | YOU_FIND_A_SPELL_PAPER_ ; HIT_ANY_KEY_FOR_A_DESCRIPTION ; OF_THE_SPELL_ON_THE_PAPER_
3000:ae27 find_item size=390 ncallers=1 | 
3000:afc5 post_kill_heal size=158 ncallers=1 | 
3000:b063 post_kill_sp size=135 ncallers=1 | 
3000:b0ea FUN_3000_b0ea size=67 ncallers=1 | 
3000:b12d kill_monster size=3129 ncallers=1 | YOU_KILLED_IT_ ; YOU_HAVE_FOUND_A_KEY__IT ; THIS_KEY_WILL_ALLOW_YOU ; TO_USE_TRAP_DOORS_LABELED ; WITH_THIS_NUMBER_ ; HIT_ANY_KEY___ ; YOU_FIND___ ; NOTHING___HIT_ANY_KEY_ ; SELECT_THE_ARMOR_TO_ENHANCE_ ; SELECT_A_WEAPON_TO_ENHANCE_ ; THE_GROUND_BEGINS_TO_RUMBLE_ ; AND_SUDDENLY_THE_BODY_OF_THE ; GREAT_SHADOW_OGEROTH_TURNS ; INTO_A_TINY_CAT_WHICH_SCURRIES
3000:bd9a go_up_level size=747 ncallers=1 | 
3000:c093 go_down_level size=764 ncallers=1 | 
3000:c39d monster_manual size=1807 ncallers=1 | A_B_C_D_E ; PADEAD ; PRESS_A__B__C__D__OR_E_FOR_MORE_I ; SELECT_A_MONSTER_FOR_MORE_INFORM
3000:caac FUN_3000_caac size=1557 ncallers=1 | so_what_can_I_do_for_you_ ; ARMOR_ ; WEAPON_ ; LEVEL_ ; SPELL_POINTS_ ; CONSTITUTION__AGILITY_OR_LUCK ; HEALTH_POINTS_
3000:d0c1 msg_no_monster size=45 ncallers=6 | YOU_ARE_NOT_CURRENTLY ; ENGAGING_ANY_MONSTER_ ; HIT_ANY_KEY___
3000:d0ee msg_already_in_effect size=45 ncallers=9 | CASTING_THIS_SPELL_WOULD ; BE_REDUNDANT_ ; HIT_ANY_KEY___
3000:d11b msg_already_cast_this_spell size=45 ncallers=4 | YOU_HAVE_ALREADY_CAST ; THIS_SPELL_ ; HIT_ANY_KEY___
3000:d148 enchant_weapon_perm size=197 ncallers=1 | 
3000:d211 enchant_armor_perm size=197 ncallers=1 | 
3000:d2da set_temp_armor_plus size=32 ncallers=1 | 
3000:d2fc set_temp_weapon_plus size=32 ncallers=1 | 
3000:d31e set_body_armor size=32 ncallers=1 | 
3000:d340 set_prot_ring size=32 ncallers=1 | 
3000:d362 set_anti_magic_ring size=32 ncallers=1 | 
3000:d384 write_scroll_or_wand size=1076 ncallers=1 | PLEASE_SELECT_A_TYPE_OF_SPELL_ ; 1__PREPARATION_SPELLS ; 2__WIZARD_SPELLS ; 2_______________ ; 3__PRIESTLY_SPELLS ; 3_______________ ; PLEASE_SELECT_A_THE_LEVEL ; SPELL_YOU_WISH_ENCHANT_ ; MAXIMUM_LEVEL_ ; HIT_0_FOR_10_TH_LEVEL ; HIT_ESC_FOR_PREVIOUS_MENU ; _TYPE_NUMBER_ON_KEYBOARD_ ; PLEASE_SELECT_ONE_OF_THE_ABOVE ; 4__PREVIOUS_MENU
3000:d7be msg_you_feel_good size=45 ncallers=1 | YOU_FEEL_GOOD___HIT_ANY_KEY
3000:d7eb msg_you_feel_very_good size=45 ncallers=4 | YOU_FEEL_VERY_GOOD_ ; HIT_ANY_KEY___
3000:d818 explosion size=229 ncallers=1 | A_SMALL_EXPLOSION_OCCURS ; A_LARGE_EXPLOSION_OCCURS ; A_HUGE_EXPLOSION_OCCURS ; THE_EXPLOSION_DOES ; ON_THE_GROUND_DIRECTLY ; BELOW_THE_MONSTER_ ; POINTS_OF_DAMAGE_ ; HIT_ANY_KEY
3000:d904 sleep_monster size=136 ncallers=1 | 
3000:d990 strength size=38 ncallers=1 | 
3000:d9ba speed size=38 ncallers=1 | 
3000:d9e4 strength_and_speed size=68 ncallers=1 | 
3000:da2c relocate size=137 ncallers=3 | 
3000:dab7 boss_immune_check size=99 ncallers=4 | WHEN_YOU_BEGIN_TO_CAST_THE ; SPELL_THE_MONSTER_STOPS_YOU ; AND_SAYS___NO__THAT_SILLY ; SPELL_DOESTN_T_WORK_ON_ME_ ; TRY_SOMETHING_ELSE_WHILE_I ; TEAR_YOUR_LIMBS_FROM_ONE ; ANOTHER__HEE_HEE_HEE_ ; HIT_ANY_KEY
3000:db1e go_away size=247 ncallers=1 | 
3000:dc18 autokill size=283 ncallers=1 | THE_MONSTER_S_BRAIN_EXPLODES ; FROM_ULTRA_INTENSE_BRAIN ; WAVES_WHICH_EMINATE_FROM ; YOUR_MIND_ ; HIT_ANY_KEY ; THE_SPELL_FAILS____TOUGH_LUCK ; CHARLIE_
3000:dd37 msg_sixty_moves_longer size=45 ncallers=2 | YOU_HAD_ALREADY_CAST_THIS ; SPELL__SO_NOW_IT_WILL_LAST ; 60_MOVES_LONGER_ ; HIT_ANY_KEY___
3000:dd64 power_weapon size=99 ncallers=1 | YOUR_WEAPON_BEGINS_TO ; SHIMMER_WITH_POWER__THIS ; WEAPON_IS_AUTOMATICALLY ; IN_USE_UNTIL_THE_SPELL ; HIT_ANY_KEY
3000:ddc9 protection size=99 ncallers=1 | YOUR_BODY_BEGINS_TO_SHIMMER ; WITH_SHIFTING_COLORS_OF ; LIGHT__THIS_PROTECTION ; WILL_LAST_FOR_60_MOVES ; OR_STEPS_ ; HIT_ANY_KEY
3000:de2e resist_poison size=53 ncallers=1 | YOU_FEEL_A_WARMTH_IN_YOUR ; BLOOD_AS_THE_RESIST ; POISON_TAKES_EFFECT_ ; HIT_ANY_KEY
3000:de65 resist_disease size=53 ncallers=1 | YOU_FEEL_A_TINGLING_IN_YOUR ; BODY_AS_THE_RESIST ; DISEASE_TAKES_EFFECT_ ; HIT_ANY_KEY
3000:de9c anti_cold size=53 ncallers=1 | YOU_FEEL_A_WARM_FEELING_AS ; YOUR_BODY_PREPARES ; FOR_AN_ICE_ATTACK_ ; SPELL_WILL_LAST_60_MOVES_ ; HIT_ANY_KEY
3000:ded3 anti_fire size=53 ncallers=1 | YOU_FEEL_A_COOL_FEELING_AS ; YOUR_BODY_PREPARES ; FOR_A_FIRE_ATTACK_ ; SPELL_WILL_LAST_60_MOVES_ ; HIT_ANY_KEY
3000:df0a resist_drain size=53 ncallers=1 | YOU_FEEL_A_HEAVENLY ; PRESENCE_AS_THE_FORCES ; OF_GOOD_GATHER_TO_DEFEND ; YOU_AGAINST_LEVEL_DRAIN_ ; HIT_ANY_KEY
3000:df41 drain_monster size=192 ncallers=1 | 
3000:e003 pass_wall size=423 ncallers=1 | SELECT_A_DIRECTION_ ; 1__NORTH__UP_ ; 2__SOUTH__DOWN_ ; 3__EAST__RIGHT_ ; 4__WEST__LEFT_ ; 5__CANCEL_SPELL__ESCAPE_
3000:e1b8 spell_effect size=5541 ncallers=1 | _YOU_ARE_ON_LEVEL_ ; THAT_SPELL_DOES_NOT ; WORK_THIS_DEEP_ ; HIT_ANY_KEY___ ; WORK_BELOW_THE_64_TH ; LEVEL_ ; THIS_SPELL_CAN_NOT_BE ; USED_TO_MAKE_YOU_FLOAT ; ABOVE_THE_TOWN_ ; YOUR_X_AND_Y_COORDINATES ; THAT_SPELL_DOES_NOT_WORK ; THIS_DEEP_ ; THE_MONSTER_FOR ; WISPS_OF_COLORFUL_LIGHT
4000:0001 FUN_4000_0001 size=52 ncallers=1 | 
4000:0035 FUN_4000_0035 size=1637 ncallers=1 | 
4000:069a FUN_4000_069a size=491 ncallers=10 | 
4000:0885 FUN_4000_0885 size=158 ncallers=4 | 
4000:0923 FUN_4000_0923 size=56 ncallers=0 | 
4000:095b FUN_4000_095b size=74 ncallers=1 | 
4000:09a5 FUN_4000_09a5 size=282 ncallers=5 | 
4000:0abf load_font size=244 ncallers=1 | 
4000:0bb3 pfont size=517 ncallers=41 | 
4000:0db8 psfont size=422 ncallers=15 | 
4000:0f5e FUN_4000_0f5e size=54 ncallers=1 | 
4000:0f94 FUN_4000_0f94 size=44 ncallers=1 | 
4000:0fc0 gmode size=109 ncallers=6 | 
4000:102d set_ega_colour size=87 ncallers=2 | 
4000:1084 FUN_4000_1084 size=62 ncallers=0 | 
4000:10c2 apply_palette size=142 ncallers=2 | 
4000:1150 gradient_palette size=371 ncallers=1 | 
4000:12c3 set_palette size=5120 ncallers=8 | 
4000:26d3 FUN_4000_26d3 size=78 ncallers=2 | 
4000:2721 FUN_4000_2721 size=64 ncallers=2 | 
4000:2761 FUN_4000_2761 size=57 ncallers=2 | BROWN_PUFFBALL
4000:279a FUN_4000_279a size=110 ncallers=1 | A_MISSLE_BOLTS_FORWARD
4000:2808 FUN_4000_2808 size=110 ncallers=1 | A_MISSLE_BOLTS_FORWARD
4000:2876 FUN_4000_2876 size=93 ncallers=1 | A_MISSLE_BOLTS_FORWARD
4000:28d3 FUN_4000_28d3 size=355 ncallers=0 | SELECT_THE_TYPE_OF_PAPER_
4000:2a36 fill_rect size=142 ncallers=15 | 
4000:2ac4 FUN_4000_2ac4 size=45 ncallers=0 | 
4000:2af1 FUN_4000_2af1 size=56 ncallers=0 | 
4000:2b29 FUN_4000_2b29 size=55 ncallers=0 | 
4000:2b60 FUN_4000_2b60 size=55 ncallers=0 | 
4000:2b97 FUN_4000_2b97 size=55 ncallers=0 | 
4000:2bce FUN_4000_2bce size=51 ncallers=0 | 
4000:2c01 FUN_4000_2c01 size=51 ncallers=0 | 
4000:2c34 FUN_4000_2c34 size=46 ncallers=0 | 
4000:2c62 FUN_4000_2c62 size=46 ncallers=0 | 
4000:2c90 FUN_4000_2c90 size=198 ncallers=0 | 
4000:2d56 FUN_4000_2d56 size=58 ncallers=0 | 
4000:2d90 FUN_4000_2d90 size=2180 ncallers=4 | 
4000:38db FUN_4000_38db size=229 ncallers=1 | 12__RINGS_OF_REGENERATION_ ; LOADED_WEIGHT_ ; 13__RING_OF_PROTECTION__PLUS ; 16__GAUNTLET__PLUS ; STRENGTH_DRAINED_ ; YOU_ARE_DISEASED_MOVES_LEFT_UNTI ; STRENGTH_ ; CONSTITUTION_DRAINED_ ; AGILITY_
4000:39c0 mouse_detect size=50 ncallers=3 | 
4000:39f8 FUN_4000_39f8 size=58 ncallers=1 | 
4000:3a38 FUN_4000_3a38 size=69 ncallers=11 | 
4000:3a81 FUN_4000_3a81 size=91 ncallers=2 | 
4000:3adc FUN_4000_3adc size=39 ncallers=4 | 
4000:3b05 FUN_4000_3b05 size=39 ncallers=4 | 
4000:3b2e FUN_4000_3b2e size=22 ncallers=7 | 
4000:3b44 FUN_4000_3b44 size=190 ncallers=10 | 
4000:3c02 FUN_4000_3c02 size=28 ncallers=1 | 
4000:3c20 FUN_4000_3c20 size=1154 ncallers=8 | 
4000:40aa FUN_4000_40aa size=152 ncallers=1 | 
4000:4142 FUN_4000_4142 size=28 ncallers=0 | 
4000:415e FUN_4000_415e size=29 ncallers=8 | 
4000:417b FUN_4000_417b size=16 ncallers=13 | 
4000:418d mgetch_message size=83 ncallers=10 | 
4000:41e5 FUN_4000_41e5 size=62 ncallers=3 | 
4000:4225 FUN_4000_4225 size=143 ncallers=5 | 
4000:42b4 erase_menu_block size=90 ncallers=16 | 
4000:430e erase_message_block size=48 ncallers=25 | 
4000:433e FUN_4000_433e size=1240 ncallers=5 | 
4000:4818 scale_image2 size=1909 ncallers=10 | 
4000:4f8f FUN_4000_4f8f size=1557 ncallers=1 | 
4000:55b2 typed_name size=598 ncallers=3 | 
4000:580e FUN_4000_580e size=305 ncallers=1 | 
4000:593f FUN_4000_593f size=291 ncallers=3 | 
4000:5a62 FUN_4000_5a62 size=35 ncallers=1 | 
4000:5a87 num_to_string size=63 ncallers=10 | 
4000:5aca FUN_4000_5aca size=113 ncallers=2 | 
4000:5b3f FUN_4000_5b3f size=82 ncallers=2 | 
4000:5b91 FUN_4000_5b91 size=148 ncallers=2 | 
4000:5c25 FUN_4000_5c25 size=148 ncallers=3 | 
4000:5cb9 FUN_4000_5cb9 size=401 ncallers=0 | IN_OTHER_MODULES__YOU_WILL ; BATTLE_A_VAST_ARRAY_OF_NEW ; MONSTERS_ ; MODULES_3__4__AND_5_ALSO_HAVE ; MANY_NEW_MONSTERS__AND_IF_YOU ; ORDER_ALL_FOUR_MODULES__AT_A ; DISCOUNTED_PRICE__OF_COURSE__ ; YOU_WILL_RECEIVE_280_ADDITIONAL ; BRAND_NEW_LEVELS_OF_DUNGEON__ALL ; PACKED_WITH_NICE__FRIENDLY_LITTL ; _PEOPLE___SO_PICK_UP_THAT_PHONE ; AND_CALL_NOW_ ; TO_ORDER___800__VGA_GAME ; HIT_ANY_KEY_TO_EXIT
4000:5e4a FUN_4000_5e4a size=394 ncallers=0 | OH_WELL__YOU_RE_DEAD____DON_T_WO ; IT_S_NOT_LIKE_YOU_CARED_ABOUT_TH ; CHARACTER__OR_DID_YOU__WELL__WE__ ; AN_OFFER_YOU_NO_CAN_REFUSE___IF_Y ; REGISTER_DUNGEONS_OF_THE_UNFORGI ; WE_WILL_BRING_YOU_BACK_TO_LIFE_ ; IN_FACT__AS_A_SPECIAL_REGISTRATI ; BONUS__THIS_DEATH_WILL_BE_COMPLE ; FORGIVEN__AND_YOU_WILL_BE_HEALED ; SO_ORDER_MORE_NEW_MODULES_OF_THI ; FABULOUS_GAME__AND_GET_NEW_MONST ; GRAPHICS__AND_OTHER_STUFF__YOUR_F ; CHARACTER_WILL_GREATLY_APPRECIAT ; KIND_AND_GENEROUS_ACTION_
4000:5fd4 FUN_4000_5fd4 size=368 ncallers=0 | DECISION_TIME__DO_YOU_ORDER_NEW_E ; VERSION_OF_THIS_GREAT_GAME_AND_S ; HARD_FOUGHT__PROMISSING_CHARACTE ; YOU_ABANDON_YOUR_FRIEND_TO_THE_W ; THIS_IS_A_PRETTY_DECENT_CHARACTE ; HAVE_DEVELOPED__SO_THINK_CAREFUL ; BEFORE_MURDERING_IT__I_MEAN_WHAT ; YOU_TELL_THE_FAMILY__WHO_WILL_CL ; ITS_ROOM_BACK_AT_THE_INN__THINK_O ; THE_BURIAL_EXPENSES__NOT_TO_MENT ; THOSE_WASTED_EXPERIENCE_POINTS_ ; PLEASE_SELECT_ONE_OF_THE_FOLLOWI ; 1__SAVE_SELF__SMART_CHOICE_ ; 2__KILL_SELF__DUMB_CHOICE_
4000:6144 FUN_4000_6144 size=472 ncallers=0 | WELL__YOU_VE_PASSED_FROM_THIS_EX ; THE_NEXT__BUT_DON_T_BE_DISCOURAG ; THERE_IS_SOMEONE__SOMEWHERE__WHO ; THIS_GAME_WORSE_THAN_YOU_DID_ ; FORTUNATELY__UNLIKE_IN_THE_REAL_W ; _PROBABLY___YOU_CAN_HAVE_ANOTHER ; TO_TRY_TO_PROVE_THAT_YOU_ARE_IND ; FIRST_CLASS_COMPUTER_GAME_NERD_ ; ADVICE__CHOOSE_TO__DESIGN_YOUR_O ; CHARACTER__AND_GIVE_YOURSELF_AN_E ; HIGH_STRENGTH__THEN_STAY_NEAR_TH ; SINCE_THE_DEEPER_YOU_GO__THE_MEA ; MONSTERS_BECOME__GOOD_LUCK___LIK ; HIT_ANY_KEY_TO_START_AGAIN__THEN
4000:631c FUN_4000_631c size=863 ncallers=1 | 
4000:667b FUN_4000_667b size=1103 ncallers=1 | __PREP_SPELLS ; VIEW_ONEY ; IEW_STATS ; AST_SPELL ; E_PAND_MAP ; XP_NEEDED ; PTIONS_MENU ; DIG_UNNEL ; IGHT_OSE_ITEM ; RMOR_EAPONS ; OOM_OCKETS ; ELP_RAPHICS ; UIT_USE_TEM ; S__SECTION_INFO
4000:6aca drop_money size=2396 ncallers=1 | YOU_FIND_GREATER_AMERICAN ; DOLLARS__THESE_CAN_BE_TRADED ; FOR_REAL_CURRENCY_AT_ANY ; YOU_HAVE_FOUND_A_TOTAL_OF ; THAT_MIGHT_EVEN_BUY_YOU ; LUNCH__AT_MORDONALD_S__ ; YOU_COULD_FEED_A_HUNGRY ; CHILD_WITH_THAT_MONEY_ ; A_FEW_MORE_FINDS_LIKE_THIS ; AND_YOU_LL_STILL_BE_POOR_ ; YOU_SURE_KNOW_HOW_TO_PICK ; RICH_OPPONENTS__CHUCKLE____ ; NOT_TOO_BAD_A_CATCH__MONEY ; ISN_T_EVERYTHING_ANYWAY_
4000:7426 FUN_4000_7426 size=245 ncallers=1 | MOVE_THE_MOUSE_AND_POINT_TO ; THINGS_AND_EXPERIMENT_WITH_IT ; THROUGHOUT_THE_COURSE_OF_THE ; GAME_TO_SEE_WHAT_IT_CAN_DO_ ; POINT_TO_THIS_BOX_AND_HIT ; LEFT_BUTTON_TO_DISABLE_THE_MOUSE ; MANY_FIND_THE_KEYBOARD_CONTROLS ; SUPERIOR_TO_THE_MOUSE_CONTROLS_
4000:751b shareware_plea_screen size=512 ncallers=0 | PA_WE_AT_MORAFFWARE_MAKE_OUR_LIV ; AWAY_THE_COMPLETE_SHAREWARE_EDIT ; HIGH_RES_GAMES__AND_THEN_RECEIVI ; EVEN_LARGER_COMMERCIAL_EDITIONS_O ; SHAREWARE_EDITIONS_OF_OTHER_MORA ; MAY_BE_OBTAINED_FREE_BY_CALLING_E ; EXEC_PC_IS_THE_LARGEST_BBS_IN_TH ; _414__789_4210_WITH_YOUR_MODEM__O ; MORAFFWARE_VOICE_NUMBER__1_800_V ; A_COUPLE_OF_DOLLARS_PER_GAME_WE_ ; OF_OUR_SHAREWARE_EDITIONS_THROUG ; SO_PLEASE_HELP_US_SUCCEED_BY_GIV ; OF_THIS_GAME_TO_EVERYONE_YOU_KNO ; DELETE_THE_FILE__INTRO_TXT__TO_R
4000:771b module_transition_screen size=2302 ncallers=1 | WELCOME_TO_MODULE ; _APurchase_Module_II_by_calling_ ; __800__VGA_GAME_or__512__335_639 ; _CAN_T_GO_THERE_YET_
5000:0006 FUN_5000_0006 size=326 ncallers=5 | 
5000:0153 FUN_5000_0153 size=35 ncallers=4 | 
5000:0176 FUN_5000_0176 size=92 ncallers=0 | 
5000:01d2 FUN_5000_01d2 size=335 ncallers=1 | 
5000:037e FUN_5000_037e size=420 ncallers=0 | 
5000:0522 FUN_5000_0522 size=361 ncallers=1 | 
5000:068b FUN_5000_068b size=12 ncallers=1 | 
5000:0697 FUN_5000_0697 size=44 ncallers=1 | 
5000:06c3 FUN_5000_06c3 size=19 ncallers=1 | 
5000:06d6 FUN_5000_06d6 size=17 ncallers=1 | 
5000:06e7 FUN_5000_06e7 size=173 ncallers=0 | POWER_WEAPON_3 ; LEATHER
5000:07c4 FUN_5000_07c4 size=39 ncallers=4 | 
5000:07eb draw_line size=290 ncallers=1 | overlay_pic
5000:097e FUN_5000_097e size=32 ncallers=1 | 
5000:099e FUN_5000_099e size=35 ncallers=4 | 
5000:09c1 FUN_5000_09c1 size=287 ncallers=1 | YOU_CAN_BE_REWARDED_FOR_GOOD ; REGISTER_THIS_GAME_
5000:0b4f FUN_5000_0b4f size=34 ncallers=0 | 
5000:0b71 FUN_5000_0b71 size=61 ncallers=1 | Null_pointer_assignment_Divide_e
5000:0bae FUN_5000_0bae size=34 ncallers=0 | 
5000:0bd0 FUN_5000_0bd0 size=34 ncallers=0 | 
5000:0bf2 FUN_5000_0bf2 size=48 ncallers=0 | 
5000:0c58 FUN_5000_0c58 size=14 ncallers=1 | Null_pointer_assignment_Divide_e
5000:0cc2 FUN_5000_0cc2 size=177 ncallers=0 | 
5000:0d73 FUN_5000_0d73 size=179 ncallers=0 | 
5000:0e26 FUN_5000_0e26 size=153 ncallers=1 | 
5000:0ebf FUN_5000_0ebf size=158 ncallers=2 | 
5000:0f5d FUN_5000_0f5d size=139 ncallers=1 | 
5000:0fe8 FUN_5000_0fe8 size=170 ncallers=2 | 
5110:0008 FUN_5110_0008 size=62 ncallers=2 | 
5110:0046 FUN_5110_0046 size=49 ncallers=0 | 
5110:0077 FUN_5110_0077 size=45 ncallers=1 | 
5110:00a4 FUN_5110_00a4 size=55 ncallers=4 | 
5120:0012 FUN_5120_0012 size=132 ncallers=4 | 
5120:00ef FUN_5120_00ef size=4 ncallers=1 | BOLTS_FORWARD__BURNING
5120:00f3 FUN_5120_00f3 size=463 ncallers=3 | BOLTS_FORWARD__BURNING
5120:02bd FUN_5120_02bd size=234 ncallers=4 | BOLTS_FORWARD__BURNING
